    Andalucía	1075.15	480.42	29.78	4.31	1559.88	31.59	1591.47	102.29	226.14	1263.04	
    Aragón	1081.02	567.11	29.73	7.4	1655.53	46.73	1702.26	107.18	253.46	1341.62	
    Asturias, Principado de	1117.75	533.86	35.9	7.89	1659.5	19.11	1678.61	109.49	263.42	1305.7	
    Balears, Illes	1172.64	459.21	28.37	3.87	1635.72	46.29	1682.01	107.0	229.69	1345.32	
    Canarias	1028.28	451.44	16.88	3.14	1482.86	14.64	1497.5	96.24	199.86	1201.4	
    Cantabria	1131.15	461.83	38.33	5.8	1598.78	35.78	1634.56	105.6	243.25	1285.71	
    Castilla y León	1067.0	491.92	37.22	4.18	1563.1	27.51	1590.61	102.14	229.41	1259.06	
    Castilla - La Mancha	1037.06	465.73	32.75	5.55	1508.34	15.36	1523.7	99.79	209.02	1214.89	
    Cataluña	1246.03	551.73	23.84	8.49	1806.25	25.74	1831.99	117.63	301.51	1412.85	
    Comunitat Valenciana	1076.22	492.99	25.88	7.19	1576.4	23.57	1599.97	102.8	232.47	1264.7	
    Extremadura	946.01	501.82	33.93	3.1	1450.93	14.31	1465.24	94.42	197.07	1173.75	
    Galicia	1106.63	422.4	25.21	4.47	1533.5	19.0	1552.5	101.5	223.63	1227.37	
    Madrid, Comunidad de	1295.44	598.97	18.11	4.85	1899.26	39.51	1938.77	121.49	337.32	1479.96	
    Murcia, Región de	1047.89	546.55	30.95	3.81	1598.25	27.56	1625.81	102.5	231.94	1291.37	
    Navarra, Comunidad Foral de	1388.14	451.3	29.17	5.21	1844.65	29.85	1874.5	124.63	276.18	1473.69	
    País Vasco	1499.65	572.67	30.55	4.03	2076.35	39.79	2116.14	132.46	330.88	1652.8	
    Rioja, La	1176.99	503.77	27.17	9.5	1690.26	7.82	1698.08	108.82	256.74	1332.52	
    Ciudades de Ceuta y Melilla	971.43	876.7	45.14	0.58	1848.71	49.13	1897.84	113.47	203.11	1581.26	
