    Andalucía	949.21	361.41	16.27	0.66	1311.28	20.68	1331.96	87.65	166.7	1077.61	
    Aragón	952.63	455.45	26.72	1.6	1409.68	28.16	1437.84	91.73	187.97	1158.14	
    Asturias, Principado de	963.7	428.78	33.46	1.28	1393.76	13.4	1407.16	92.99	195.27	1118.9	
    Balears, Illes	1096.76	391.11	21.51	1.93	1489.8	52.44	1542.24	98.34	187.31	1256.59	
    Canarias	985.85	396.73	15.96	0.56	1383.14	11.56	1394.7	90.3	177.01	1127.39	
    Cantabria	996.11	357.69	28.3	0.71	1354.51	22.76	1377.27	89.62	175.49	1112.16	
    Castilla y León	949.31	425.86	35.12	0.7	1375.87	8.81	1384.68	88.95	181.63	1114.1	
    Castilla - La Mancha	921.65	403.71	27.64	2.16	1327.52	12.38	1339.9	88.37	168.57	1082.96	
    Cataluña	1118.19	428.05	17.85	3.55	1549.79	20.32	1570.11	103.83	229.98	1236.3	
    Comunitat Valenciana	952.7	395.65	22.28	3.18	1351.53	20.73	1372.26	89.85	175.45	1106.96	
    Extremadura	848.42	467.13	37.34	0.16	1315.71	8.29	1324.0	86.55	172.6	1064.85	
    Galicia	988.12	380.4	28.39	1.57	1370.09	19.16	1389.25	89.97	182.93	1116.35	
    Madrid, Comunidad de	1178.92	495.93	15.6	1.86	1676.71	35.78	1712.49	110.43	271.18	1330.88	
    Murcia, Región de	910.24	464.95	26.43	1.05	1376.24	15.83	1392.07	87.52	180.56	1123.99	
    Navarra, Comunidad Foral de	1183.99	325.79	13.63	1.61	1511.39	36.52	1547.91	105.42	196.34	1246.15	
    País Vasco	1329.18	463.2	19.94	1.06	1793.44	17.61	1811.05	116.17	263.34	1431.54	
    Rioja, La	1006.48	443.4	25.18	2.42	1452.3	3.33	1455.63	94.24	199.27	1162.12	
    Ciudades de Ceuta y Melilla	951.08	876.82	31.88	0.75	1828.65	54.97	1883.62	113.04	229.54	1541.04	
